name,url_picture,date_of_birth,age,height,weight,spike,block
Yasemin Guveli,/en/vnl/women/teams/tur-turkey/players/yasemin-guveli?id=71276,05/01/1999,20,188,72,306,298
Zehra Gunes,/en/vnl/women/teams/tur-turkey/players/zehra-gunes?id=71210,07/07/1999,20,197,88,319,310
Asli Kalac,/en/vnl/women/teams/tur-turkey/players/asli-kalac?id=71212,13/12/1995,24,185,73,306,297
Aylin Sarioğlu,/en/vnl/women/teams/tur-turkey/players/aylin-sario%c4%9flu?id=71219,21/07/1995,24,169,68,300,290
Fatma Yildirim,/en/vnl/women/teams/tur-turkey/players/fatma-yildirim?id=71222,03/01/1990,29,180,64,304,292
Elif Şahin,/en/vnl/women/teams/tur-turkey/players/elif-%c5%9fahin?id=71218,19/01/2001,18,190,73,300,291
Humay Topaloglu,/en/vnl/women/teams/tur-turkey/players/humay-topaloglu?id=71220,03/08/1996,23,180,64,300,290
Neriman Ozsoy,/en/vnl/women/teams/tur-turkey/players/neriman-ozsoy?id=71288,13/07/1988,31,188,76,312,300
Cansu Cetin,/en/vnl/women/teams/tur-turkey/players/cansu-cetin?id=71205,26/05/1993,26,181,69,298,290
Naz Aydemir Akyol,/en/vnl/women/teams/tur-turkey/players/naz-aydemir-akyol?id=71197,14/08/1990,29,186,68,304,294
Ebrar Karakurt,/en/vnl/women/teams/tur-turkey/players/ebrar-karakurt?id=71213,17/01/2000,19,196,73,315,304
Micha Hancock,/en/vnl/women/teams/usa-usa/players/micha-hancock?id=70959,10/11/1992,27,180,76,305,297
Jordyn Poulter,/en/vnl/women/teams/usa-usa/players/jordyn-poulter?id=70966,31/07/1997,22,188,77,306,295
Carli Lloyd,/en/vnl/women/teams/usa-usa/players/carli-lloyd?id=70963,06/08/1989,30,180,75,313,295
Rachael Adams,/en/vnl/women/teams/usa-usa/players/rachael-adams?id=70950,03/06/1990,29,188,81,318,307
Tetori Dixon,/en/vnl/women/teams/usa-usa/players/tetori-dixon?id=70955,04/08/1992,27,191,83,306,295
Lauren Carlini,/en/vnl/women/teams/usa-usa/players/lauren-carlini?id=70953,28/02/1995,24,185,77,302,295
Lauren Gibbemeyer,/en/vnl/women/teams/usa-usa/players/lauren-gibbemeyer?id=70958,08/09/1988,31,187,71,307,293
